taxon,COG_number,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
Bacteroides caccae TSDC17.2,COG0018,908210,1090300,1075100,898990,1121300,700980,0,715140,686430,0,0,0,242930,0,0,628180,556230,823680,315210
Bacteroides caccae TSDC17.2,COG0019,0,0,1409200,0,1427600,0,144620,0,112960,0,0,0,0,0,0,0,0,1495600,0
Bacteroides caccae TSDC17.2,COG0021,1074500,1160400,1947500,2919600,1420700,1593800,0,0,4125600,2520000,1291200,1395700,1038700,2325500,1270100,3576600,2384500,0,4316300
Bacteroides caccae TSDC17.2,COG0024,0,0,0,3218100,0,0,0,0,0,1018900,201740,259440,0,0,0,0,293960,0,134950
Bacteroides caccae TSDC17.2,COG0028,11593000,3201800,0,0,0,0,0,0,0,0,3227500,2856900,2756400,949270,806930,483760,800050,333460,0
Bacteroides caccae TSDC17.2,COG0031,2184800,3243100,0,3123100,1402900,932030,0,1061600,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,COG0039,159360000,156490000,93915000,143610000,189150000,207360000,189780000,178100000,176500000,138900000,99261000,133530000,106750000,146810000,234510000,205410000,133100000,116890000,124910000
Bacteroides caccae TSDC17.2,COG0040,18838000,4678600,3876200,5195300,5980100,6860500,4330000,3388900,4441900,15358000,11089000,16461000,11171000,10855000,7594200,9322300,9889200,1400500,7018300
Bacteroides caccae TSDC17.2,COG0044,0,1723300,1317700,2200800,1775300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,COG0045,0,3113700,0,1926000,0,2997900,958930,0,0,1610600,1463300,330570,1601000,0,0,1254600,1267400,4748700,699830
Bacteroides caccae TSDC17.2,COG0046,3308400,4901800,0,3497100,2965500,949040,5960000,5089700,2476500,730850,2127700,1655100,1731500,1378700,1624000,915490,1304700,1607600,1199800
Bacteroides caccae TSDC17.2,COG0054,35239000,35179000,9555500,20858000,21907000,31238000,11452000,0,8483200,4489200,2214000,2650900,0,5249800,7745300,1993400,0,11184000,6063100
Bacteroides caccae TSDC17.2,COG0055,12812000,8381100,6219000,13695000,8951900,13245000,9025100,7750200,5753000,2399000,1429300,1001500,1187500,1159500,0,4234700,2069600,1387000,750700
Bacteroides caccae TSDC17.2,COG0056,0,0,0,0,0,0,0,0,0,0,918320,0,0,0,0,0,0,212310,0
Bacteroides caccae TSDC17.2,COG0057,2225600000,2406500000,2740900000,2480400000,2451700000,3437200000,2947700000,3439700000,2.92E+09,2291100000,2557900000,2243200000,2368400000,2140900000,3622700000,2779300000,2587800000,4434700000,3174800000
