Genome,OG,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_UBA932_g_Cryptobacteroides_s_Cryptobacteroides_sp000432515|bin.344,LCOG3209,60904000,0,253860000,202180000,549350000,360470000,357840000,276050000,285030000,0,187150000,1180800,336740000,126260000,76768000,4870700,407500000,258290000,341850000,168290000,190560000,570550,412270000,787660,382650000,100480000,0,253360000,231330000,448400000,346030000,0,441610000,113510000,622040000,166840000,211870000,15458000,4298300,88334000,1028000,0,267170000,168680000,159440000,221280000,0,196030000
p_Cyanobacteria_c_Vampirovibrionia_o_Gastranaerophilales_f_Gastranaerophilaceae_g_CAG-196_s_CAG-196_sp002102975|bin.84,7199V,0,0,25351000,0,0,0,0,26314000,0,0,0,0,0,0,0,0,24851000,0,0,17143000,0,0,25045000,0,0,0,0,0,13621000,0,0,0,0,0,0,0,16339000,0,0,0,0,0,0,0,0,25548000,0,0
p_Cyanobacteria_c_Vampirovibrionia_o_Gastranaerophilales_f_Gastranaerophilaceae_g_CAG-196_s_CAG-196_sp002102975|bin.84,75K31,0,0,26605000,0,0,0,0,0,23026000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29156000,0,0,0,0,0
p_Cyanobacteria_c_Vampirovibrionia_o_Gastranaerophilales_f_Gastranaerophilaceae_g_CAG-196_s_CAG-196_sp002102975|bin.84,LCOG0057,163020000,34951000,0,0,225530000,0,248970000,229360000,182050000,84923000,283230000,0,198580000,208580000,220430000,16116000,247210000,215210000,260730000,0,209240000,0,222780000,0,171840000,89345000,108440000,159770000,306950000,242150000,184820000,162010000,256630000,166320000,236720000,336240000,0,94197000,35873000,112360000,0,0,219170000,227710000,159610000,197470000,0,255830000
p_Cyanobacteria_c_Vampirovibrionia_o_Gastranaerophilales_f_Gastranaerophilaceae_g_Limenecus_s_Limenecus_avicola|bin.368,LCOG0277,87853000,0,87734000,69369000,168390000,62823000,60552000,194530000,75097000,139530000,206240000,0,69299000,86633000,79562000,0,201710000,91101000,166270000,122300000,69721000,0,269580000,0,92230000,16035000,147000000,126060000,173720000,164390000,160240000,90907000,159650000,38499000,358310000,154530000,61452000,96357000,0,62548000,0,0,113540000,62925000,29147000,168120000,0,68105000
p_Cyanobacteria_c_Vampirovibrionia_o_Gastranaerophilales_f_Gastranaerophilaceae_g_Limenecus_s_Limenecus_avicola|bin.368,LCOG0553,20639000,0,22233000,24421000,0,23892000,0,22691000,0,38456000,0,0,23059000,19190000,18416000,0,30030000,28586000,23895000,0,0,0,48535000,0,30526000,18014000,0,35039000,0,0,30448000,24986000,0,19036000,0,27337000,22779000,0,0,18831000,0,0,0,0,0,0,0,0
p_Desulfobacterota_I_c_Desulfovibrionia_o_Desulfovibrionales_f_Desulfovibrionaceae_g_Bilophila_s_Bilophila_wadsworthia|bin.204,LCOG0012,13864000,11362000,15317000,0,16428000,0,0,21758000,18226000,0,0,0,0,0,0,0,0,11622000,0,12834000,0,0,23468000,0,0,0,13676000,0,14154000,0,0,13678000,0,12600000,0,8689400,12367000,12160000,0,13042000,0,0,0,14724000,0,25821000,0,10163000
p_Desulfobacterota_I_c_Desulfovibrionia_o_Desulfovibrionales_f_Desulfovibrionaceae_g_Bilophila_s_Bilophila_wadsworthia|bin.204,LCOG0050,39594000,11992000,49331000,67619000,45488000,51881000,29391000,57383000,19461000,0,35741000,9492900,19458000,44229000,39616000,25855000,19322000,0,50619000,0,73578000,4244900,0,0,39217000,31479000,0,37558000,51730000,37976000,12112000,49043000,40013000,32168000,65382000,33610000,0,0,33016000,21419000,7994000,3930300,53296000,70579000,97153000,20749000,4690900,43941000
p_Desulfobacterota_I_c_Desulfovibrionia_o_Desulfovibrionales_f_Desulfovibrionaceae_g_Bilophila_s_Bilophila_wadsworthia|bin.204,LCOG0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_Desulfobacterota_I_c_Desulfovibrionia_o_Desulfovibrionales_f_Desulfovibrionaceae_g_Bilophila_s_Bilophila_wadsworthia|bin.204,LCOG0071,45964000,31861000,32572000,20927000,81489000,38507000,50506000,47756000,66519000,0,61486000,1258600,32865000,34008000,29916000,5096900,28936000,25596000,57832000,27405000,77857000,0,28820000,0,27156000,26382000,0,10377000,20287000,13570000,14932000,27764000,65608000,34616000,88500000,32029000,17435000,0,23940000,15574000,0,0,77422000,54477000,54950000,28719000,0,48369000
p_Desulfobacterota_I_c_Desulfovibrionia_o_Desulfovibrionales_f_Desulfovibrionaceae_g_Bilophila_s_Bilophila_wadsworthia|bin.204,LCOG0086,83039000,97522000,138190000,171740000,285990000,176040000,105730000,234030000,111760000,184520000,243410000,11494000,137080000,159160000,157620000,70991000,259230000,108900000,239050000,228250000,176770000,0,252010000,285880,181850000,151170000,340450000,211380000,215790000,202080000,178140000,227270000,223650000,211390000,328780000,230840000,0,240290000,95142000,88633000,8435300,8620500,179510000,158750000,141750000,276870000,0,242450000
p_Desulfobacterota_I_c_Desulfovibrionia_o_Desulfovibrionales_f_Desulfovibrionaceae_g_Bilophila_s_Bilophila_wadsworthia|bin.204,LCOG0161,0,0,0,0,0,2424500,0,0,0,0,0,4543200,0,0,0,4043300,0,0,0,0,0,1573600,0,2706900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4439000,0,2572900,2178700,0,0,0,0,2642300,0
