taxon,COG_number,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
Collinsella aerofaciens TSDC17.2,COG0024,937400,0,0,2125000,2085000,641030,0,0,0,0,0,0,0,0,0,0,0,0,0
Collinsella aerofaciens TSDC17.2,COG0030,0,0,476100,0,0,0,0,0,0,613470,0,0,0,0,0,0,0,0,0
Collinsella aerofaciens TSDC17.2,COG0031,1765200,608630,382780,1396300,1481600,2090600,1538500,2212500,1273800,345600,1442100,0,878390,821850,1035300,372250,596060,538710,1885000
Collinsella aerofaciens TSDC17.2,COG0034,392130,0,2512600,0,2122300,0,0,0,0,2864200,3025200,1101700,1446000,315340,0,2776100,3469600,0,1820600
Collinsella aerofaciens TSDC17.2,COG0036,0,0,895010,1660200,0,839260,977200,0,0,0,0,0,0,0,716250,770940,2311000,667490,818930
Collinsella aerofaciens TSDC17.2,COG0039,10116460,13426000,22490000,43023200,21894730,21972200,17085000,10600820,12687360,6416500,12383900,6227500,4233500,6460900,20506500,17568000,4958900,6168800,11747000
Collinsella aerofaciens TSDC17.2,COG0041,4416600,2365500,771870,2589300,14123000,1716100,830070,0,900960,594810,1237600,442950,653280,802350,1677500,1299700,1366500,407640,730330
Collinsella aerofaciens TSDC17.2,COG0044,13527000,32705000,17490000,34809500,25070240,4667000,10454000,3291800,10448880,9006380,8885700,7037900,4296300,7891000,10927750,22125000,16693000,2123700,17625850
Collinsella aerofaciens TSDC17.2,COG0046,6508700,14835000,15550000,23125000,20702000,6152300,657440,0,5104900,8006000,10097000,7474400,2629400,7411000,9660200,13283000,7014800,1912900,9284600
Collinsella aerofaciens TSDC17.2,COG0049,19523000,38114000,31475000,82008000,44757000,25787000,5654900,5360000,3281600,16615000,12629000,17147000,9385300,14365000,12333000,23457000,14272000,6611900,10738000
Collinsella aerofaciens TSDC17.2,COG0050,72301000,216020000,1.72E+08,360550000,330530000,237190000,335710000,188230000,418880000,203510000,211160000,165830000,123080000,201690000,225870000,275090000,154200000,90841000,262150000
Collinsella aerofaciens TSDC17.2,COG0051,0,1159800,0,5996100,1476000,0,0,0,0,19182000,15494000,16810000,9568200,23329000,2372300,25171000,9103500,0,20993000
Collinsella aerofaciens TSDC17.2,COG0052,2965100,2012800,5076600,6206100,5562800,4757300,7280400,5010600,8404100,10900000,8367200,4735500,4365600,10436000,8861100,12811000,4985500,14772000,7566200
