Taxon,Function,DC.M.48.1,DC.H.48.1,DC.M.48.2,NC.1D.48.1,DC.H.48.2,DC.L.48.1,NC.1D.48.2,DC.L.48.2,DC.L.48.3,DC.H.48.3,DC.M.48.3,NC.1D.48.3
MGYG000000032,LCOG0551,1388634667,508558383,1314433417,935290279.5,506594629.9,1712586429,2000379846,1418172348,1392146232,428092534.3,1809482265,1690768013
MGYG000000032,LCOG0554,5449415,9648107,33292651,4977051,0,191080866,10726193,7591321,4685078,813046,44965309,176282675
MGYG000000032,LCOG0579,77426517.45,13235799,27153086.17,28850949.67,10536094.83,104830624.3,100008115.8,56177741.73,28666291.05,5674775,44387325,201623202.3
MGYG000000032,LCOG0593,1059435.5,0,46760639,39761702,271062660,1950761.5,0,61047137,14460501,0,1473235,769775.5
MGYG000000032,LCOG0629,23012032.43,0,14007891,30082303,4221547.333,62817281.43,72853424.43,58362945.41,7547245.25,1918663,45017039.71,38732805.43
MGYG000000032,LCOG0634,91985902.5,210554,85480947,142611470,16661064,61485126,28821069.66,207352699.5,213594243,142593,193431161,271805126
MGYG000000032,LCOG0667,125203889,0,75452346,67975494,0,29036029,146294485,98192160,67847688,0,11645023,53174051
MGYG000000032,LCOG0673,17129050,0,172283644,16160764,0,264675816,32067305,10697447,153984880,0,172894614,7650355
MGYG000000032,LCOG0674,165838262.3,3723675,318226768.7,286247111,825102,455292695,621059528.8,424873044.6,460192680.5,1328713,216360435.3,512973157.8
MGYG000000032,LCOG0715,55544832,0,86608353,115928167,1132176,169194579,167949503,144174084,67584061,0,73601909,187887074
