Genome,OG,LFQ intensity HiSF_14spcs_m04_2_147,LFQ intensity HiSF_14spcs_m06_2_148,LFQ intensity HiSF_14spcs_m07_2_149,LFQ intensity HiSF_14spcs_m10_2_150,LFQ intensity HiSF_14spcs_m13_2_151,LFQ intensity HiSF_15spcs_m03_1_132,LFQ intensity HiSF_15spcs_m07_1_133,LFQ intensity HiSF_15spcs_m09_1_134,LFQ intensity HiSF_15spcs_m14_1_136,LFQ intensity PEFi_14spcs_m00_0_127,LFQ intensity PEFi_14spcs_m01_1_128,LFQ intensity PEFi_14spcs_m02_1_129,LFQ intensity PEFi_14spcs_m04_1_130,LFQ intensity PEFi_14spcs_m13_1_131,LFQ intensity PEFi_15spcs_m05_2_142,LFQ intensity PEFi_15spcs_m08_2_143,LFQ intensity PEFi_15spcs_m09_2_144,LFQ intensity PEFi_15spcs_m12_2_145,LFQ intensity PEFi_15spcs_m14_2_146
Bacteroides_caccae,709VW,24000000,30008000.0,41347000,30312000,24347000.0,32485000,1276400.0,0.0,96335,3716200.0,4906900,3902800.0,5498700.0,5338500.0,15343000,7339900,8818300.0,21345000.0,7365300
Bacteroides_caccae,70F26,0,0.0,0,1102400,919930.0,0,0.0,0.0,0,1208300.0,1210300,995270.0,505800.0,740070.0,1837200,840960,1298200.0,0.0,0
Bacteroides_caccae,70FC6,0,0.0,0,0,0.0,0,0.0,0.0,0,125310.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_caccae,70GIX,0,0.0,16689000,0,1172600.0,0,0.0,0.0,112810,321300.0,4615800,0.0,2378700.0,2318500.0,2743400,0,2107300.0,0.0,0
Bacteroides_caccae,712EH,0,0.0,0,0,0.0,0,1477100.0,0.0,1349400,0.0,0,0.0,1068500.0,0.0,0,173190,0.0,0.0,0
Bacteroides_caccae,716H2,0,0.0,0,0,0.0,0,0.0,0.0,0,106660.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_caccae,716U9,0,0.0,0,153390,0.0,0,0.0,0.0,0,1002000.0,0,884380.0,935850.0,735300.0,0,902280,1141400.0,0.0,628540
Bacteroides_caccae,717G5,6810300,7719600.0,3945620,5866000,4442360.0,10708600,6896000.0,8587500.0,8954500,4736400.0,1039900,1244400.0,4884400.0,3961000.0,4470400,4226100,2764050.0,5516900.0,4671000
Bacteroides_caccae,71IKX,0,0.0,0,0,0.0,0,0.0,1476100.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_caccae,71R1Q,0,0.0,0,0,0.0,0,0.0,0.0,0,799280.0,711850,0.0,0.0,0.0,0,632100,0.0,0.0,0
Bacteroides_caccae,72RXZ,3094900,2623100.0,3561800,4540600,4123800.0,4260200,2220900.0,2750500.0,0,521250.0,464740,0.0,0.0,407330.0,0,0,0.0,0.0,0
Bacteroides_caccae,72ZIG,1309400,1420300.0,0,1125800,1783500.0,2943500,2337900.0,0.0,718290,0.0,0,658750.0,0.0,0.0,1133200,1111500,0.0,2183200.0,0
Bacteroides_caccae,735UJ,0,407800.0,0,0,263260.0,0,0.0,0.0,0,182540.0,210590,0.0,0.0,338020.0,349650,373090,0.0,0.0,0
Bacteroides_caccae,738MN,0,1338600.0,1836500,392510,0.0,1074300,710460.0,0.0,0,411040.0,204030,0.0,779940.0,243250.0,0,0,425010.0,0.0,457570
Bacteroides_caccae,73QQ0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,686080,781690.0,628840.0,420880.0,0,0,0.0,0.0,704720
Bacteroides_caccae,7425F,3370700,4802400.0,2257300,3805600,2554700.0,0,4122200.0,3301700.0,0,0.0,1761900,0.0,0.0,0.0,0,0,1963500.0,3515200.0,1963600
Bacteroides_caccae,748UR,1334700,0.0,0,0,0.0,0,2813600.0,2637000.0,0,0.0,302620,0.0,0.0,0.0,692990,317610,0.0,1004200.0,495160
Bacteroides_caccae,74EKR,0,0.0,0,0,0.0,559560,699770.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,265280.0,0.0,290300
Bacteroides_caccae,74KTF,0,3223000.0,769110,904840,890230.0,0,19281000.0,3065700.0,3920000,1005300.0,692380,1293800.0,0.0,0.0,0,0,0.0,1221600.0,0
Bacteroides_caccae,74W7I,24665000,21268000.0,29838000,16645000,19501000.0,0,0.0,0.0,0,5814900.0,8453900,4789900.0,3768900.0,4307700.0,9275800,6391800,5688900.0,3862200.0,9886900
